"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AIRAN",800,34.67,27.69,27733.95,22152,-5581.95,-20.13,0,""
"ANANTRAJ",20,518.46,508.95,10369.2,10179,-190.2,-1.83,0,""
"ARIHANTCAP",260,75.72,69.71,19687.4,18124.6,-1562.8,-7.94,0,""
"ASHIMASYN",590,37.49,21.89,22119.1,12915.1,-9204,-41.61,0,""
"ASHOKAMET",300,34.33,18.5,10299,5550,-4749,-46.11,0,""
"ASTERDM",50,368.59,411.15,18429.5,20557.5,2128,11.55,0,""
"ATGL",30,761.34,579.05,22840.25,17371.5,-5468.75,-23.94,0,""
"AWL",78,383.95,257.4,29948.1,20077.2,-9870.9,-32.96,0,""
"BANKBARODA",340,130.46,204.77,44357.6,69621.8,25264.2,56.96,0,""
"BANKINDIA",290,65.97,98.08,19130,28443.2,9313.2,48.68,0,""
"BFINVEST",40,678.5,449.4,27140,17976,-9164,-33.77,0,""
"BLS",80,382.7,365.35,30616,29228,-1388,-4.53,0,""
"BSE",10,2581.95,5502,25819.5,55020,29200.5,113.09,0,""
"CANBK",650,37.18,85.02,24167.4,55263,31095.6,128.67,0,""
"CAPACITE",35,374.75,321.95,13116.25,11268.25,-1848,-14.09,0,""
"CHOLAHLDNG",10,1801.95,1568.4,18019.5,15684,-2335.5,-12.96,0,""
"DEEPAKFERT",11,1072.55,1063.3,11798.05,11696.3,-101.75,-0.86,0,""
"DOLATALGO",135,147.99,80.68,19978.65,10891.8,-9086.85,-45.48,0,""
"ENTERO",25,1041.6,1285.25,26040,32131.25,6091.25,23.39,0,""
"EQUITASBNK",1293,87.78,58.89,113501.35,76144.77,-37356.58,-32.91,0,""
"GENUSPOWER",199,209.3,279.65,41651.3,55650.35,13999.05,33.61,0,""
"GHCLTEXTIL",355,85.29,76.79,30279.32,27260.45,-3018.87,-9.97,0,""
"GODFRYPHLP",10,4932.85,5656.05,49328.45,56560.5,7232.05,14.66,0,""
"GOKULAGRO",120,216.13,274.95,25935.84,32994,7058.16,27.21,0,""
"GOLDBEES",2830,57.59,72.75,162980.33,205882.5,42902.17,26.32,0,""
"GREAVESCOT",176,148.18,255.6,26079.77,44985.6,18905.83,72.49,0,""
"GVTD",10,1508.87,1434.85,15088.65,14348.5,-740.15,-4.91,0,""
"HCLTECH",36,1033.19,1636.8,37194.85,58924.8,21729.95,58.42,0,""
"HERITGFOOD",12,580.25,383.9,6963,4606.8,-2356.2,-33.84,0,""
"HGINFRA",170,328.91,1056.55,55913.85,179613.5,123699.65,221.23,0,""
"HUDCO",248,250.74,178.21,62184.34,44196.08,-17988.26,-28.93,0,""
"ICICIBANK",40,1040.69,1224.15,41627.4,48966,7338.6,17.63,0,""
"IDFCFIRSTB",441,80.17,58.81,35356.74,25935.21,-9421.53,-26.65,0,""
"IEX",180,150.25,166.24,27045.55,29923.2,2877.65,10.64,0,""
"INDIACEM",80,288.06,251.55,23044.68,20124,-2920.68,-12.67,0,""
"INDUSTOWER",86,346,331.6,29756,28517.6,-1238.4,-4.16,0,""
"INFIBEAM",460,32.48,19.22,14941.93,8841.2,-6100.73,-40.83,0,""
"INFY",40,1291.15,1768.2,51646,70728,19082,36.95,0,""
"INVENTURE",3600,3.05,1.59,10992,5724,-5268,-47.93,0,""
"IOC",300,90.58,118.65,27172.85,35595,8422.15,30.99,0,""
"IRCTC",100,291.6,710.35,29160,71035,41875,143.6,0,""
"IREDA",485,41.48,173.55,20117.5,84171.75,64054.25,318.4,0,""
"IRFC",500,24.8,123.26,12400,61630,49230,397.02,0,""
"ITDCEM",100,552.95,525.3,55295,52530,-2765,-5,0,""
"JAIBALAJI",150,218.14,130.5,32721,19575,-13146,-40.18,0,""
"JIOFIN",208,233.81,226.32,48632,47074.56,-1557.44,-3.2,0,""
"JKLAKSHMI",170,435.7,703.85,74069.1,119654.5,45585.4,61.54,0,""
"JSL",300,424.08,599.8,127223.55,179940,52716.45,41.44,0,""
"JSWINFRA",80,319.3,256.2,25544,20496,-5048,-19.76,0,""
"JUNIORBEES",196,600.98,634.84,117791.29,124428.64,6637.35,5.63,0,""
"JUSTDIAL",20,1164.45,823.3,23289,16466,-6823,-29.3,0,""
"KARURVYSYA",632,128.81,209.95,81410.8,132688.4,51277.6,62.99,0,""
"KFINTECH",20,1324.1,892.7,26482,17854,-8628,-32.58,0,""
"LIQUIDCASE",1044,103.28,107.24,107821.68,111958.56,4136.88,3.84,0,""
"MAHABANK",150,66.36,48.71,9954,7306.5,-2647.5,-26.6,0,""
"MCX",27,3211.81,5502.35,86718.95,148563.45,61844.5,71.32,0,""
"MERCURYEV",150,96.9,66.77,14535,10015.5,-4519.5,-31.09,0,""
"METROPOLIS",15,1315.65,1658.55,19734.75,24878.25,5143.5,26.06,0,""
"MICEL",425,54.87,60.86,23319.5,25865.5,2546,10.92,0,""
"MONARCH",100,289.03,350.5,28902.75,35050,6147.25,21.27,0,""
"MOREPENLAB",850,37.24,50.22,31653,42687,11034,34.86,0,""
"MOTILALOFS",25,640,597,16000,14925,-1075,-6.72,0,""
"MUTHOOTFIN",20,1125.35,2184,22507,43680,21173,94.07,0,""
"NATIONALUM",188,191.54,180.79,36010.36,33988.52,-2021.84,-5.61,0,""
"NDL",2747,5.78,3.6,15877.66,9889.2,-5988.46,-37.72,0,""
"NEWGEN",20,1313.92,960.4,26278.4,19208,-7070.4,-26.91,0,""
"NIFTYBEES",222,261.91,252.83,58143,56128.26,-2014.74,-3.47,0,""
"NUVAMA",10,6680,5577.75,66800,55777.5,-11022.5,-16.5,0,""
"NYKAA",178,311.72,163.14,55486.2,29038.92,-26447.28,-47.66,0,""
"ODIGMA",5,2.03,39.87,10.13,199.35,189.22,1868.44,0,""
"OIL",300,90.54,372.4,27163,111720,84557,311.29,0,""
"ONESOURCE",5,231.24,1349.4,1156.2,6747,5590.8,483.55,0,""
"ONGC",150,143.1,233,21465,34950,13485,62.82,0,""
"PAISALO",306,40.68,38.7,12446.77,11842.2,-604.57,-4.86,0,""
"PAR-BE",100,301.5,115.95,30150,11595,-18555,-61.54,0,""
"PDMJEPAPER",150,137.17,109.45,20576.12,16417.5,-4158.62,-20.21,0,""
"PENIND",145,88.78,171.55,12872.75,24874.75,12002,93.24,0,""
"PNB",587,54.8,93.12,32169.79,54661.44,22491.65,69.92,0,""
"PNBHOUSING",70,549.53,792.2,38466.95,55454,16987.05,44.16,0,""
"POCL",28,511.93,637.25,14334,17843,3509,24.48,0,""
"PREMIERPOL",375,66.72,70.71,25019.25,26516.25,1497,5.98,0,""
"PRIMESECU",70,358.97,219.8,25128,15386,-9742,-38.77,0,""
"RANEENGINE",70,488.5,290.25,34195,20317.5,-13877.5,-40.58,0,""
"REFEX",100,260.35,406.65,26035,40665,14630,56.19,0,""
"RPPINFRA-BE",100,227.5,126.88,22750,12688,-10062,-44.23,0,""
"RTNINDIA",300,82.11,44.2,24633,13260,-11373,-46.17,0,""
"RTNPOWER",600,19.64,9.61,11784,5766,-6018,-51.07,0,""
"SARLAPOLY",135,114,75.06,15390,10133.1,-5256.9,-34.16,0,""
"SHAH",2380,5.33,3.62,12674.17,8615.6,-4058.57,-32.02,0,""
"SKIPPER",50,403.74,409.6,20186.85,20480,293.15,1.45,0,""
"SUNTECK",36,568.31,378.3,20459,13618.8,-6840.2,-33.43,0,""
"SUPRIYA",40,492.1,638.25,19684,25530,5846,29.7,0,""
"SUVENPHAR",34,1330,1208.9,45220,41102.6,-4117.4,-9.11,0,""
"SUZLON",310,62.34,54.58,19326.5,16919.8,-2406.7,-12.45,0,""
"TATAMOTORS",82,542.45,661.75,44480.75,54263.5,9782.75,21.99,0,""
"TATAPOWER",100,448.85,351.5,44885,35150,-9735,-21.69,0,""
"TATASTEEL",300,72.78,137.07,21835,41121,19286,88.33,0,""
"TBZ",170,147.56,178.55,25084.36,30353.5,5269.14,21.01,0,""
"TCS",6,3199.23,3631.1,19195.4,21786.6,2591.2,13.5,0,""
"UNIONBANK",1500,57.86,116.29,86795.6,174435,87639.4,100.97,0,""
"WABAG",23,1849,1383.45,42527,31819.35,-10707.65,-25.18,0,""
"WEALTH-BE",12,1615.54,968.3,19386.45,11619.6,-7766.85,-40.06,0,""
"YESBANK",3000,14.78,17.8,44346.47,53400,9053.53,20.42,0,""
"ZENTEC",23,1125,1098.4,25874.9,25263.2,-611.7,-2.36,0,""
"ZOMATO",750,111.47,225.65,83599.75,169237.5,85637.75,102.44,0,""
"ZUARI",190,202.55,191.1,38484.2,36309,-2175.2,-5.65,0,""
